t,mcc,mcc_lo,mcc_hi,gender,1st_cond,1st_age_band
0,0,0,0,F,Hyp,"(50, 59)"
1,0,0,0,F,Hyp,"(50, 59)"
2,0,0,0,F,Hyp,"(50, 59)"
3,0,0,0,F,Hyp,"(50, 59)"
4,0,0,0,F,Hyp,"(50, 59)"
5,0,0,0,F,Hyp,"(50, 59)"
6,0,0,0,F,Hyp,"(50, 59)"
7,0,0,0,F,Hyp,"(50, 59)"
8,0,0,0,F,Hyp,"(50, 59)"
9,0,0,0,F,Hyp,"(50, 59)"
10,0,0,0,F,Hyp,"(50, 59)"
11,0,0,0,F,Hyp,"(50, 59)"
12,0,0,0,F,Hyp,"(50, 59)"
13,0,0,0,F,Hyp,"(50, 59)"
14,0,0,0,F,Hyp,"(50, 59)"
15,0,0,0,F,Hyp,"(50, 59)"
16,0,0,0,F,Hyp,"(50, 59)"
17,0,0,0,F,Hyp,"(50, 59)"
18,0,0,0,F,Hyp,"(50, 59)"
19,0,0,0,F,Hyp,"(50, 59)"
20,0,0,0,F,Hyp,"(50, 59)"
21,0,0,0,F,Hyp,"(50, 59)"
22,0,0,0,F,Hyp,"(50, 59)"
23,0,0,0,F,Hyp,"(50, 59)"
24,0,0,0,F,Hyp,"(50, 59)"
25,0,0,0,F,Hyp,"(50, 59)"
26,0,0,0,F,Hyp,"(50, 59)"
27,0,0,0,F,Hyp,"(50, 59)"
28,0,0,0,F,Hyp,"(50, 59)"
29,0,0,0,F,Hyp,"(50, 59)"
30,0,0,0,F,Hyp,"(50, 59)"
31,0,0,0,F,Hyp,"(50, 59)"
32,0,0,0,F,Hyp,"(50, 59)"
33,0,0,0,F,Hyp,"(50, 59)"
34,0,0,0,F,Hyp,"(50, 59)"
35,0,0,0,F,Hyp,"(50, 59)"
36,0,0,0,F,Hyp,"(50, 59)"
37,0,0,0,F,Hyp,"(50, 59)"
38,0,0,0,F,Hyp,"(50, 59)"
39,0,0,0,F,Hyp,"(50, 59)"
40,0,0,0,F,Hyp,"(50, 59)"
41,0,0,0,F,Hyp,"(50, 59)"
42,0,0,0,F,Hyp,"(50, 59)"
43,0,0,0,F,Hyp,"(50, 59)"
44,0,0,0,F,Hyp,"(50, 59)"
45,0,0,0,F,Hyp,"(50, 59)"
46,0,0,0,F,Hyp,"(50, 59)"
47,0,0,0,F,Hyp,"(50, 59)"
